"%s-%s of %s","%s-%s of %s"
"%s - Go to Home Page","%s - Go to Home Page"
"%s Item(s)","%s Item(s)"
"(Shift-)Click or drag to change value","(Shift-)Click or drag to change value"
"(ver. %s)","(ver. %s)"
"-- Please Select --","-- Please Select --"
"- Click on any of the time parts to increase it","- Click on any of the time parts to increase it"
"- Hold mouse button on any of the above buttons for faster selection.","- Hold mouse button on any of the above buttons for faster selection."
"- or click and drag for faster selection.","- or click and drag for faster selection."
"- or Shift-click to decrease it","- or Shift-click to decrease it"
"- Use the %s, %s buttons to select year","- Use the %s, %s buttons to select year"
"- Use the %s buttons to select month","- Use the %s buttons to select month"
"1 column","1 column"
"2 columns with left bar","2 columns with left bar"
"2 columns with right bar","2 columns with right bar"
"3 columns","3 columns"
"About the calendar","About the calendar"
"Account","Account"
"All Empty Layout Pages","All Empty Layout Pages"
"All One-Column Layout Pages","All One-Column Layout Pages"
"Allow","Allow"
"All Pages","All Pages"
"All Pages (Print Version)","All Pages (Print Version)"
"All Rights Reserved.","All Rights Reserved."
"All Three-Column Layout Pages","All Three-Column Layout Pages"
"All Two-Column Layout Pages (Left Column)","All Two-Column Layout Pages (Left Column)"
"All Two-Column Layout Pages (Right Column)","All Two-Column Layout Pages (Right Column)"
"Breadcrumbs","Breadcrumbs"
"Browser Notice","Browser Notice"
"Click <a href=""%s"">here</a> if nothing has happened","Click <a href=""%s"">here</a> if nothing has happened"
"Close","Close"
"Close Window","Close Window"
"Date selection:","Date selection:"
"Default Description","Default Description"
"Default welcome msg!","Default welcome msg!"
"DHTML Date/Time Selector","DHTML Date/Time Selector"
"Display %s first","Display %s first"
"Distributed under GNU LGPL. See %s for details.","Distributed under GNU LGPL. See %s for details."
"Drag to move","Drag to move"
"Empty","Empty"
"For latest version visit: %s","For latest version visit: %s"
"Free Shipping on orders over 50$","Free Shipping on orders over 50$"
"Go Today","Go Today"
"Help Us to Keep Maho Healthy","Help Us to Keep Maho Healthy"
"Interface Language","Interface Language"
"Items %s to %s of %s total","Items %s to %s of %s total"
"JavaScript seems to be disabled in your browser.","JavaScript seems to be disabled in your browser."
"Left Column","Left Column"
"Left Column First (shows above main column on smaller screens)","Left Column First (shows above main column on smaller screens)"
"Left sidebar","Left sidebar"
"Main Content Area","Main Content Area"
"Main Navigation","Main Navigation"
"Menu","Menu"
"Navigation Bar","Navigation Bar"
"Next","Next"
"Next month (hold for menu)","Next month (hold for menu)"
"Next year (hold for menu)","Next year (hold for menu)"
"Page:","Page:"
"Page Bottom","Page Bottom"
"Page Footer","Page Footer"
"Page Header","Page Header"
"Page Top","Page Top"
"per page","per page"
"Prev. month (hold for menu)","Prev. month (hold for menu)"
"Prev. year (hold for menu)","Prev. year (hold for menu)"
"Previous","Previous"
"Primary sidebar","Primary sidebar"
"Redirecting...","Redirecting..."
"Report All Bugs","Report All Bugs"
"Results per page","Results per page"
"Right Column","Right Column"
"Right sidebar","Right sidebar"
"Search","Search"
"Select date","Select date"
"Select Store","Select Store"
"Select Store:","Select Store:"
"Show","Show"
"Sidebar","Sidebar"
"Skip to main content","Skip to main content"
"Store Notice","Store Notice"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","This is a demo store. Any orders placed through this store will not be honored or fulfilled."
"Time:","Time:"
"Time selection:","Time selection:"
"View All","View All"
"Welcome, %s!","Welcome, %s!"
"You must have JavaScript enabled in your browser to utilize the functionality of this website.","You must have JavaScript enabled in your browser to utilize the functionality of this website."
"Your Language","Your Language"
"Your Language:","Your Language:"
