"Action","Action"
"Add Sitemap","Add Sitemap"
"Add Sitemap Lines","Add Sitemap Lines"
"Adds the full text of every active CMS page of this store view. Products and categories stay out: the sitemaps address them one URL at a time. When off, /llms-full.txt answers 404.","Adds the full text of every active CMS page of this store view. Products and categories stay out: the sitemaps address them one URL at a time. When off, /llms-full.txt answers 404."
"AI search crawlers (blocking these removes the store from AI answers)","AI search crawlers (blocking these removes the store from AI answers)"
"Always","Always"
"Appended to the generated file. Groups written here keep their own rules and also receive the base rules above. A group that carries its own Content-Signal line keeps it, and the configured signals are left out of that group.","Appended to the generated file. Groups written here keep their own rules and also receive the base rules above. A group that carries its own Content-Signal line keeps it, and the configured signals are left out of that group."
"Base Rules","Base Rules"
"Blocked AI Crawlers","Blocked AI Crawlers"
"Categories Options","Categories Options"
"CMS Pages Options","CMS Pages Options"
"Content Signal: ai-input","Content Signal: ai-input"
"Content Signal: ai-train","Content Signal: ai-train"
"Content Signal: search","Content Signal: search"
"Content Signal: use","Content Signal: use"
"Content signals state what a crawler may do with the pages it reads, on a Content-Signal line in the wildcard group. They are a stated condition of access, not an enforcement mechanism, and no crawler is obliged to honour them. This one covers building a search index and returning links and short excerpts, and does not cover AI generated summaries.","Content signals state what a crawler may do with the pages it reads, on a Content-Signal line in the wildcard group. They are a stated condition of access, not an enforcement mechanism, and no crawler is obliged to honour them. This one covers building a search index and returning links and short excerpts, and does not cover AI generated summaries."
"Crawlers & robots.txt","Crawlers & robots.txt"
"Custom Instructions","Custom Instructions"
"Daily","Daily"
"Do not show in sitemap","Do not show in sitemap"
"Each agent selected here gets its own group with Disallow: /. Blocking an AI search crawler removes the store from AI answers, so block only what you mean to. To block an agent that this list does not name, write its group in Custom Instructions below.","Each agent selected here gets its own group with Disallow: /. Blocking an AI search crawler removes the store from AI answers, so block only what you mean to. To block an agent that this list does not name, write its group in Custom Instructions below."
"Edit Sitemap","Edit Sitemap"
"Enabled","Enabled"
"Error Email Recipient","Error Email Recipient"
"Error Email Sender","Error Email Sender"
"Error Email Template","Error Email Template"
"Extra Content","Extra Content"
"Feeding the pages to an AI model at answer time, which is how a store reaches AI search answers. Reserving it asks assistants to leave the store out of their answers.","Feeding the pages to an AI model at answer time, which is how a store reaches AI search answers. Reserving it asks assistants to leave the store out of their answers."
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server."
"Filename","Filename"
"Frequency","Frequency"
"Full: keep and reuse the content","Full: keep and reuse the content"
"Generate","Generate"
"Generate llms-full.txt","Generate llms-full.txt"
"Generate llms.txt","Generate llms.txt"
"Generate robots.txt","Generate robots.txt"
"Generation Settings","Generation Settings"
"Google Sitemap","Google Sitemap"
"Hourly","Hourly"
"How much of the content an AI system may keep once it has read it.","How much of the content an AI system may keep once it has read it."
"ID","ID"
"Immediate: answer the question, keep nothing","Immediate: answer the question, keep nothing"
"Include Images","Include Images"
"Last Time Generated","Last Time Generated"
"Link for Google","Link for Google"
"List every sitemap configured for this store view at the end of the file. llms.txt lists the same sitemaps and does not read this setting.","List every sitemap configured for this store view at the end of the file. llms.txt lists the same sitemaps and does not read this setting."
"llms.txt","llms.txt"
