"%s Screenshot","%s Screenshot"
"%s violation(s)","%s violation(s)"
"Accessibility Scan","Accessibility Scan"
"Accessibility Scan Report","Accessibility Scan Report"
"Accessibility Violations","Accessibility Violations"
"Advanced","Advanced"
"Are you sure you want to delete this scan?","Are you sure you want to delete this scan?"
"axe-core could not automatically evaluate %s check(s) (for example, color contrast over an image). Review them manually.","axe-core could not automatically evaluate %s check(s) (for example, color contrast over an image). Review them manually."
"Back","Back"
"CLI","CLI"
"Command failed (exit code %s): %s","Command failed (exit code %s): %s"
"Command timed out after %s seconds: %s","Command timed out after %s seconds: %s"
"Complete","Complete"
"Completed","Completed"
"Conformance level used when starting a scan without an explicit level.","Conformance level used when starting a scan without an explicit level."
"Critical","Critical"
"Cron expression. Default: <strong>0 3 * * *</strong> (daily at 3am).","Cron expression. Default: <strong>0 3 * * *</strong> (daily at 3am)."
"Cron Schedule","Cron Schedule"
"Date","Date"
"Default WCAG Level","Default WCAG Level"
"Delete","Delete"
"Delete Scans After","Delete Scans After"
"Desktop","Desktop"
"Desktop Viewport","Desktop Viewport"
"Enabled","Enabled"
"Export PDF","Export PDF"
"Failed","Failed"
"Fix all of the following","Fix all of the following"
"Fix any of the following","Fix any of the following"
"General Settings","General Settings"
"How to fix","How to fix"
"HTML","HTML"
"ID","ID"
"Invalid scan URL ""%s"": every URL must belong to one of the configured store base URLs","Invalid scan URL ""%s"": every URL must belong to one of the configured store base URLs"
"Learn more","Learn more"
"Manual","Manual"
"Maximum time in seconds to wait for a single page scan.","Maximum time in seconds to wait for a single page scan."
"Minor","Minor"
"Mobile","Mobile"
"Mobile Viewport","Mobile Viewport"
"Moderate","Moderate"
"Needs Review","Needs Review"
"No automatically detectable violations were found. Automated checks cover only part of WCAG, so manual testing with a keyboard and a screen reader is still recommended.","No automatically detectable violations were found. Automated checks cover only part of WCAG, so manual testing with a keyboard and a screen reader is still recommended."
"Node.js %s is installed, but the scanner requires version %s or newer.","Node.js %s is installed, but the scanner requires version %s or newer."
"Node.js Binary Path","Node.js Binary Path"
"Node.js was not found (looking for ""%s""). Install Node.js %s or newer, or set its full path in System > Configuration > Accessibility Scan.","Node.js was not found (looking for ""%s""). Install Node.js %s or newer, or set its full path in System > Configuration > Accessibility Scan."
"npm Binary Path","npm Binary Path"
"npm was not found (looking for ""%s""). Install it together with Node.js, or set its full path in System > Configuration > Accessibility Scan.","npm was not found (looking for ""%s""). Install it together with Node.js, or set its full path in System > Configuration > Accessibility Scan."
"One URL per line. Every URL must belong to one of the configured store base URLs.","One URL per line. Every URL must belong to one of the configured store base URLs."
"Page Title","Page Title"
"Path to the node executable. Default: node","Path to the node executable. Default: node"
"Path to the npm executable. Default: npm","Path to the npm executable. Default: npm"
"Pending","Pending"
"Periodically scan the URLs below via cron, using the default WCAG level.","Periodically scan the URLs below via cron, using the default WCAG level."
"Please provide a valid URL to scan","Please provide a valid URL to scan"
"Run a New Scan","Run a New Scan"
"Running","Running"
"Scan #%s","Scan #%s"
"Scan failed","Scan failed"
"Scan failed: %s","Scan failed: %s"
"Scan History","Scan History"
"Scan ID","Scan ID"
"Scanning... this can take a couple of minutes.","Scanning... this can take a couple of minutes."
"Scan not found","Scan not found"
"Scan Results","Scan Results"
"Scans older than this many days are deleted automatically. 0 keeps everything.","Scans older than this many days are deleted automatically. 0 keeps everything."
"Scan Timeout","Scan Timeout"
"Scheduled","Scheduled"
"Scheduled Scans","Scheduled Scans"
"Selector","Selector"
"Serious","Serious"
"Show on desktop screenshot","Show on desktop screenshot"
"Show on mobile screenshot","Show on mobile screenshot"
"Source","Source"
"Started","Started"
"Start Scan","Start Scan"
"Status","Status"
"Summary","Summary"
"System","System"
"Template","Template"
"Template Source","Template Source"
"The scan has been deleted.","The scan has been deleted."
"The scanner cannot run on this server yet:","The scanner cannot run on this server yet:"
"The scanner returned an unexpected result","The scanner returned an unexpected result"
"The scanner runtime is not installed yet. Run ""./maho accessibility:install"" from the command line to install it.","The scanner runtime is not installed yet. Run ""./maho accessibility:install"" from the command line to install it."
"The URL to scan must belong to one of the configured store base URLs","The URL to scan must belong to one of the configured store base URLs"
"This report was generated with automated checks (axe-core), which detect only a subset of WCAG success criteria. A report with no violations does not guarantee conformance; manual testing with a keyboard and a screen reader is still required.","This report was generated with automated checks (axe-core), which detect only a subset of WCAG success criteria. A report with no violations does not guarantee conformance; manual testing with a keyboard and a screen reader is still required."
"Total","Total"
"Total Scans","Total Scans"
"Total Violations","Total Violations"
"Unable to acquire the scanner install lock in %s","Unable to acquire the scanner install lock in %s"
"Unable to copy the scanner script to %s","Unable to copy the scanner script to %s"
"Unable to create directory %s","Unable to create directory %s"
"Unable to start process: %s","Unable to start process: %s"
"URL","URL"
"URLs to Scan","URLs to Scan"
"URL to scan","URL to scan"
"URL to scan, e.g. https://store.example.com/","URL to scan, e.g. https://store.example.com/"
"Violation #%s: %s","Violation #%s: %s"
"Violations","Violations"
"Violations (Latest Scan)","Violations (Latest Scan)"
"WCAG %s","WCAG %s"
"WCAG 2.2 Level A","WCAG 2.2 Level A"
"WCAG 2.2 Level AA","WCAG 2.2 Level AA"
"WCAG 2.2 Level AAA","WCAG 2.2 Level AAA"
"WCAG Level","WCAG Level"
"Width x height in CSS pixels, scanned with mobile emulation. Default: 390x844","Width x height in CSS pixels, scanned with mobile emulation. Default: 390x844"
"Width x height in CSS pixels. Every scan runs one pass per viewport. Default: 1280x1024","Width x height in CSS pixels. Every scan runs one pass per viewport. Default: 1280x1024"
