"-- All Categories --","-- All Categories --"
"-- Top Level --","-- Top Level --"
"-- Use System Default --","-- Use System Default --"
"86400 by default, if not set. Saving a post refreshes it.","86400 by default, if not set. Saving a post refreshes it."
"A category with URL key ""%s"" already exists under the same parent.","A category with URL key ""%s"" already exists under the same parent."
"Add Category","Add Category"
"Add Post","Add Post"
"Blog","Blog"
"Blog Categories","Blog Categories"
"Blog Category","Blog Category"
"Blog Post","Blog Post"
"Blog Post API","Blog Post API"
"Blog Posts","Blog Posts"
"Blog Posts Grid Template","Blog Posts Grid Template"
"Blog Recent Posts","Blog Recent Posts"
"Cache Lifetime (Seconds)","Cache Lifetime (Seconds)"
"Categories","Categories"
"Category","Category"
"Category Information","Category Information"
"Category Posts","Category Posts"
"Category URL Prefix","Category URL Prefix"
"Category was successfully deleted","Category was successfully deleted"
"Category was successfully saved","Category was successfully saved"
"Create blog post","Create blog post"
"Create new post","Create new post"
"Delete Category","Delete Category"
"Delete Post","Delete Post"
"Delete post","Delete post"
"Edit Category","Edit Category"
"Edit Category '%s'","Edit Category '%s'"
"Edit Post","Edit Post"
"Edit Post '%s'","Edit Post '%s'"
"Enable Blog Search in Autosuggest","Enable Blog Search in Autosuggest"
"Enable Categories","Enable Categories"
"General","General"
"General Information","General Information"
"Get post info","Get post info"
"Get post list","Get post list"
"Include Images","Include Images"
"Level","Level"
"Maximum Blog Posts in Autosuggest","Maximum Blog Posts in Autosuggest"
"Meta Information","Meta Information"
"Meta Title","Meta Title"
"New Category","New Category"
"New Post","New Post"
"Number of Posts to Display","Number of Posts to Display"
"Parent Category","Parent Category"
"Please select category(s)","Please select category(s)"
"Please select post(s)","Please select post(s)"
"Position","Position"
"Post Categories","Post Categories"
"Post Content","Post Content"
"Post Information","Post Information"
"Posts","Posts"
"Posts in this category and its subcategories. Leave empty for all posts.","Posts in this category and its subcategories. Leave empty for all posts."
"Posts per Page","Posts per Page"
"Post was successfully deleted","Post was successfully deleted"
"Post was successfully saved","Post was successfully saved"
"Publishing Date","Publishing Date"
"Remove blog post","Remove blog post"
"Retrieve blog post info","Retrieve blog post info"
"Retrieve blog posts","Retrieve blog posts"
"Save Category","Save Category"
"Save Post","Save Post"
"Show in Navigation","Show in Navigation"
"Shown above the posts. Leave empty for no title.","Shown above the posts. Leave empty for no title."
"Template","Template"
"The latest published blog posts, optionally from one category","The latest published blog posts, optionally from one category"
"There are no blog posts in this category.","There are no blog posts in this category."
"There are no blog posts to display.","There are no blog posts to display."
"This category no longer exists.","This category no longer exists."
"This post no longer exists.","This post no longer exists."
"Title","Title"
"Total of %d category(s) were deleted","Total of %d category(s) were deleted"
"Total of %d post(s) were deleted","Total of %d post(s) were deleted"
"Update blog post","Update blog post"
"Update post","Update post"
"URL Prefix","URL Prefix"
