"-- Please Select --","-- Please Select --"
"Account Created In Store","Account Created In Store"
"Action","Action"
"Active","Active"
"Added to Cart Date","Added to Cart Date"
"Added to Wishlist Date","Added to Wishlist Date"
"Add Email Step","Add Email Step"
"Add New Segment","Add New Segment"
"Address","Address"
"Address Information","Address Information"
"Add Segment","Add Segment"
"Allow Overlapping Sequences","Allow Overlapping Sequences"
"Allow starting new sequences while existing ones are still active for the same customer","Allow starting new sequences while existing ones are still active for the same customer"
"Applied Promotion Rules","Applied Promotion Rules"
"Are you sure?","Are you sure?"
"Are you sure you want to delete this sequence step?","Are you sure you want to delete this sequence step?"
"Are you sure you want to refresh this segment?","Are you sure you want to refresh this segment?"
"Assign to Website","Assign to Website"
"At least one email sequence is required when automation is enabled.","At least one email sequence is required when automation is enabled."
"Automatic","Automatic"
"Automatic: Refreshed daily via cron. Manual: Must be refreshed manually.","Automatic: Refreshed daily via cron. Manual: Must be refreshed manually."
"Average Days Between Orders","Average Days Between Orders"
"Average Order Value","Average Order Value"
"Back to Segment","Back to Segment"
"Base Row Total","Base Row Total"
"Base Sales Rule","Base Sales Rule"
"Bundle Product","Bundle Product"
"Cart","Cart"
"Cart Created Date","Cart Created Date"
"Cart Items","Cart Items"
"Cart Status","Cart Status"
"Cart Updated Date","Cart Updated Date"
"Change status","Change status"
"Completed","Completed"
"Conditions (leave blank for all customers)","Conditions (leave blank for all customers)"
"Configurable Product","Configurable Product"
"Coupon expiration days","Coupon expiration days"
"Coupon expiration days cannot be negative.","Coupon expiration days cannot be negative."
"Coupon Generation Settings","Coupon Generation Settings"
"Coupon Prefix","Coupon Prefix"
"Customer","Customer"
"Customer ID is required.","Customer ID is required."
"Customer Lifetime Value","Customer Lifetime Value"
"Customer Personal Information","Customer Personal Information"
"Customer Segment","Customer Segment"
"Customer Since","Customer Since"
"Customers in Segment","Customers in Segment"
"Customer Time-based","Customer Time-based"
"days","days"
"Days Inactive (No Login or Order)","Days Inactive (No Login or Order)"
"Days Since Added to Wishlist","Days Since Added to Wishlist"
"Days Since First Order","Days Since First Order"
"Days Since Last Login","Days Since Last Login"
"Days Since Last Order","Days Since Last Order"
"Days Since Last View","Days Since Last View"
"Days Since Registration","Days Since Registration"
"Days Until Birthday","Days Until Birthday"
"Days Without Purchase","Days Without Purchase"
"Delay","Delay"
"Delay (Minutes)","Delay (Minutes)"
"Delay before sending","Delay before sending"
"Delay minutes cannot be negative.","Delay minutes cannot be negative."
